productId;brand;subBrand;subGroup;subGroupName;shortDescription;grossPrice;longDescription;discountGroup
SNACKITSTA;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair Stand Alone Management kit bestaande uit programeerkaart, noodvoeding en 25 badges.;253.03;SMARTair Stand Alone Management kit bestaande uit programeerkaart, noodvoeding en 25 badges.;SMART SOFT
SNACKITSTASDW;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair Stand Alone Management shadow kit met shadow programeerkaart, noodvoeding en 24 badges (voor 12 gebruikers).;285.47;SMARTair Stand Alone Management shadow kit met shadow programeerkaart, noodvoeding en 24 badges (voor 12 gebruikers).;SMART SOFT
SNACLICSTA;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair Stand Alone licentie bestaande uit programmeerkaart, resetkaart, noodkaart.;51.91;SMARTair Stand Alone licentie bestaande uit programmeerkaart, resetkaart, noodkaart.;SMART SOFT
SNACLICSTASDW;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair Stand Alone shadow licentie bestaande uit shadow programmeerkaart, resetkaart, noodkaart.;84.36;SMARTair Stand Alone shadow licentie bestaande uit shadow programmeerkaart, resetkaart, noodkaart.;SMART SOFT
SNCCKITUOC30;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie UoC, voor systemen tot 30 deuren, Mifare Classic technologie.;1667.43;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie UoC, voor systemen tot 30 deuren, Mifare Classic technologie.;SMART SOFT
SNCCKITUOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie UoC, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;4776.33;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie UoC, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;SMART SOFT
SNCCKITUOCDS;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie UoC, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;4896.3;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie UoC, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;SMART SOFT
SNCCLICUOC30;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie UoC, voor systemen tot 30 deuren, Mifare Classic technologie.;616.98;SMARTAir TS1000 licentie versie UoC, voor systemen tot 30 deuren, Mifare Classic technologie.;SMART SOFT
SNCCLICUOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie UoC, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;3478.76;SMARTAir TS1000 licentie versie UoC, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;SMART SOFT
SNCCLICUOC30DS;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie UoC, voor systemen tot 30 deuren, Mifare DESFire EV1 technologie.;654.55;SMARTAir TS1000 licentie versie UoC, voor systemen tot 30 deuren, Mifare DESFire EV1 technologie.;SMART SOFT
SNCCLICUOCDS;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie UoC, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;3478.76;SMARTAir TS1000 licentie versie UoC, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;SMART SOFT
SNCCKITWIR30;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen tot 30 deuren, Mifare Classic technologie.;1933.44;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen tot 30 deuren, Mifare Classic technologie.;SMART SOFT
SNCCKITWIR;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;5387.12;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;SMART SOFT
SNCCKITWIR30DS;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen tot 30 deuren, Mifare DESFire EV1 technologie.;2060.28;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen tot 30 deuren, Mifare DESFire EV1 technologie.;SMART SOFT
SNCCKITWIRDS;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;5522.5;SMARTAir TS1000 management kit met authorisatiesleutel - portable programmer, versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;SMART SOFT
SNCCLICWIR30;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie Wireless, voor systemen tot 30 deuren, Mifare Classic technologie.;785.46;SMARTAir TS1000 licentie versie Wireless, voor systemen tot 30 deuren, Mifare Classic technologie.;SMART SOFT
SNCCLICWIR;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;4174.48;SMARTAir TS1000 licentie versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare Classic technologie.;SMART SOFT
SNCCLICWIR30DS;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie Wireless, voor systemen tot 30 deuren, Mifare DESFire EV1 technologie.;785.46;SMARTAir TS1000 licentie versie Wireless, voor systemen tot 30 deuren, Mifare DESFire EV1 technologie.;SMART SOFT
SNCCLICWIRDS;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTAir TS1000 licentie versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;4174.48;SMARTAir TS1000 licentie versie Wireless, voor systemen met onbeperkt aantal deuren, Mifare DESFire EV1 technologie.;SMART SOFT
STCUP10OFF30UOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een UoC systeem met 30 deuren. Licentiefile separaat toeleveren!;450.33;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een UoC systeem met 30 deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP10OFFUNUOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;3192.26;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP30OFF30UOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een UoC systeem met 30 deuren. Licentiefile separaat toeleveren!;105.91;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een UoC systeem met 30 deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP30OFFUNUOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;2996.02;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP75OFFUNUOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 75 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;2114.63;SMARTair TS1000 licentie upgrade van een offline systeem met 75 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUPUNOFFUNUOC;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 75 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;562.9;SMARTair TS1000 licentie upgrade van een offline systeem met 75 deuren, naar een UoC systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP10OFF30WIR;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een Wireless systeem met 30 deuren. Licentiefile separaat toeleveren!;577.42;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een Wireless systeem met 30 deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP10OFFUNWIR;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een Wireless systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;3867.76;SMARTair TS1000 licentie upgrade van een offline systeem met 10 deuren, naar een Wireless systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP30OFF30WIR;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een Wireless systeem met 30 deuren. Licentiefile separaat toeleveren!;233.03;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een Wireless systeem met 30 deuren. Licentiefile separaat toeleveren!;SMART SOFT
STCUP30OFFUNWIR;ASSA ABLOY;SMARTair;11.09.003.002;System management;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een Wireless systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;3523.37;SMARTair TS1000 licentie upgrade van een offline systeem met 30 deuren, naar een Wireless systeem met onbeperkt aantal deuren. Licentiefile separaat toeleveren!;SMART SOFT
